Name;Duration;Urgency;Importance;Priority;Impact;DueDate;MaxDueDate;Tags
Nettoyer les toilettes du bas;2;3;3;15;4;25;45;['Ménage']
Nettoyer les toilettes du haut;2;3;3;15;4;25;45;['Ménage']
Passer la serpillère dans les toilettes du;2;3;3;15;4;30;50;['Ménage']
Nettoyer la douche;4;3;3;15;4;50;70;['Ménage']
Plier le linge;6;3;2;13;2;20;25;['Ménage']
Nettoyer le plan de travail;2;2;3;12;2;;;['Ménage']
Faire la vaisselle;4;2;3;12;4;;;['Ménage']
Nettoyer le miroir de la salle de bain;1;2;2;10;2;;;['Ménage']
Passer le balai dans la salle de bain;2;2;2;10;2;;;['Ménage']
Passer la serpillère dans la salle de bain;2;2;2;10;2;;;['Ménage']
Ranger la cuisine;3;2;2;10;6;;;['Ménage']
Nettoyer la table basse du salon;1;1;3;9;2;;;['Ménage']
Nettoyer la table de la salle à manger;1;1;3;9;2;;;['Ménage']
Faire la lessive;2;1;3;9;3;;;['Ménage']
Passer la serpillère dans les toilettes du ;2;1;3;9;3;;;['Ménage']
Faire les poussières sur le bu;2;2;1;8;1;;;['Ménage']
Faire les poussières dans la chambre de Wil;2;2;1;8;1;;;['Ménage']
Passer l'aspirateur dans la chambre de William;2;2;1;8;1;;;['Ménage']
Ranger le bureau;3;2;1;8;1;;;['Ménage']
Faire les poussières dans la salle à manger;3;2;1;8;1;;;['Ménage']
Nettoyer les portes de placard;3;2;1;8;1;;;['Ménage']
Ranger l'entrée;3;2;1;8;1;;;['Ménage']
Faire les poussières dans l'entrée;3;2;1;8;1;;;['Ménage']
Ranger l'arrière-cuisine;3;2;1;8;1;;;['Ménage']
Faire les poussières dans la cha;3;2;1;8;1;;;['Ménage']
Ranger la chambre de William;3;2;1;8;1;;;['Ménage']
Faire les poussières dans le salon;4;2;1;8;1;;;['Ménage']
Ranger la chambre;4;2;1;8;1;;;['Ménage']
Passer l'aspirateur dans la chambre;4;2;1;8;1;;;['Ménage']
Nettoyer le lavabo des toilettes du bas;1;1;2;7;2;;;['Ménage']
Changer les draps de William;2;1;2;7;2;;;['Ménage']
Nettoyer le lavabo de la salle de bain;2;1;2;7;2;;;['Ménage']
Changer les draps;4;1;2;7;2;;;['Ménage']
Passer l'aspirateur dans la pièce de vie;6;1;2;7;2;;;['Ménage']
Passer la serpillère dans la pièce de vie;6;1;2;7;2;;;['Ménage']
Ranger la salle de bain;2;1;1;5;1;;;['Ménage']
Ranger la salle à manger;3;1;1;5;1;;;['Ménage']
Nettoyer la baignoire;3;1;1;5;1;;;['Ménage']
Ranger le salon;6;1;1;5;1;;;['Ménage']
Repasser le linge;6;1;1;5;1;;;['Ménage']
Nettoyer les vitres dans la pièce de vie;12;1;1;5;1;;;['Ménage']
